,Entry,ExptA,Mno,restrt,Study.y,Expt,Ref,TDBU,FTG,Ygen,Yunits,Sys1,Des1,Slevels,Smax,Dur,Gtime,Tscale,LnTscale,Tser,FinalT.x,HigherT,richness,value,Mean.value,value.st,unit.types,unit.types2,maxTscale,logMaxTime,logY,logS,TG1,MaxTscale,Study,minval,maxval,convert.min,convert.max,values.rs,logY.rs,logYst,logSc,lnTc,logSmax,logSmaxc
1,100,40,786,control,23,40,Duffy et al. 2005,TD,2,SST,g m-2,A,3,2,4,42,10.875,3.8621,1.3512,N,Y,Y,4,0.0064,0.00655,0.977099237,mass,biomass,3.8621,1.351211077,-5.051457289,1.386294361,2,3.8621,23,0.0064,0.0067,1,0,6.4,1.85629799,-0.023167059,-0.693147181,-0.77733113,1.386294361,-0.693147181
2,100,40,786,control,23,40,Duffy et al. 2005,TD,2,SST,g m-2,A,3,2,4,42,10.875,3.8621,1.3512,N,Y,Y,1,0.0067,0.00655,1.022900763,mass,biomass,3.8621,1.351211077,-5.005647753,0,2,3.8621,23,0.0064,0.0067,1,0,6.7,1.902107526,0.022642477,-2.079441542,-0.77733113,1.386294361,-0.693147181
3,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,1,788.5657,1092.935933,0.721511368,mass,biomass,0.9529,-0.048245313,6.670215726,0,1,0.9529,150,788.5657,1251.931,0,0,788.5657,6.670215726,-0.326407145,-2.079441542,-2.737899862,2.197224577,0.117783036
4,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,1,788.5657,1092.935933,0.721511368,mass,biomass,0.8184,-0.200404064,6.670215726,0,1,0.8184,150,788.5657,1251.931,0,0,788.5657,6.670215726,-0.326407145,-2.079441542,-2.737899862,2.197224577,0.117783036
5,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,3,1238.3111,1092.935933,1.133013439,mass,biomass,0.9529,-0.048245313,7.121503714,1.098612289,1,0.9529,150,788.5657,1251.931,0,0,1238.3111,7.121503714,0.124880843,-0.980829253,-2.737899862,2.197224577,0.117783036
6,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,3,1238.3111,1092.935933,1.133013439,mass,biomass,0.8184,-0.200404064,7.121503714,1.098612289,1,0.8184,150,788.5657,1251.931,0,0,1238.3111,7.121503714,0.124880843,-0.980829253,-2.737899862,2.197224577,0.117783036
7,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,9,1251.931,1092.935933,1.145475194,mass,biomass,0.9529,-0.048245313,7.132442438,2.197224577,1,0.9529,150,788.5657,1251.931,0,0,1251.931,7.132442438,0.135819567,0.117783036,-2.737899862,2.197224577,0.117783036
8,1000,402,1188,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,485,892,0.5437,-0.6093,Y,N,N,9,1251.931,1092.935933,1.145475194,mass,biomass,0.8184,-0.200404064,7.132442438,2.197224577,1,0.8184,150,788.5657,1251.931,0,0,1251.931,7.132442438,0.135819567,0.117783036,-2.737899862,2.197224577,0.117783036
9,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,1,978.3333,1352.438267,0.723384811,mass,biomass,0.9529,-0.048245313,6.88585041,0,1,0.9529,150,978.3333,1771.0185,0,0,978.3333,6.88585041,-0.323813956,-2.079441542,-2.328946271,2.197224577,0.117783036
10,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,1,978.3333,1352.438267,0.723384811,mass,biomass,0.8184,-0.200404064,6.88585041,0,1,0.8184,150,978.3333,1771.0185,0,0,978.3333,6.88585041,-0.323813956,-2.079441542,-2.328946271,2.197224577,0.117783036
11,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,3,1307.963,1352.438267,0.967114753,mass,biomass,0.9529,-0.048245313,7.176226244,1.098612289,1,0.9529,150,978.3333,1771.0185,0,0,1307.963,7.176226244,-0.033438122,-0.980829253,-2.328946271,2.197224577,0.117783036
12,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,3,1307.963,1352.438267,0.967114753,mass,biomass,0.8184,-0.200404064,7.176226244,1.098612289,1,0.8184,150,978.3333,1771.0185,0,0,1307.963,7.176226244,-0.033438122,-0.980829253,-2.328946271,2.197224577,0.117783036
13,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,9,1771.0185,1352.438267,1.309500436,mass,biomass,0.9529,-0.048245313,7.479310084,2.197224577,1,0.9529,150,978.3333,1771.0185,0,0,1771.0185,7.479310084,0.269645718,0.117783036,-2.328946271,2.197224577,0.117783036
14,1001,402,1189,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,730,892,0.8184,-0.2004,Y,N,N,9,1771.0185,1352.438267,1.309500436,mass,biomass,0.8184,-0.200404064,7.479310084,2.197224577,1,0.8184,150,978.3333,1771.0185,0,0,1771.0185,7.479310084,0.269645718,0.117783036,-2.328946271,2.197224577,0.117783036
15,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,1,1030.9722,1448.852867,0.711578259,mass,biomass,0.9529,-0.048245313,6.93825752,0,1,0.9529,150,1030.9722,1766.0185,0,0,1030.9722,6.93825752,-0.340269876,-2.079441542,-2.17678752,2.197224577,0.117783036
16,1002,402,1190,control,150,402,"De Boeck et al, Biogeo 2008",TD,1,SST,g m-2,T,1,3,9,850,892,0.9529,-0.0482,Y,Y,N,1,1030.9722,1448.852867,0.711578259,mass,biomass,0.8184,-0.200404064,6.93825752,0,1,0.8184,150,1030.9722,1766.0185,0,0,1030.9722,6.93825752,-0.340269876,-2.079441542,-2.17678752,2.197224577,0.117783036
