"","Entry","ExptA","Mno","restrt","Expt","Ref","TDBU","FTG","Ygen","Yunits","Sys1","Des1","Slevels","Smax","Dur","Gtime","Tscale","LnTscale","Tser","FinalT.x","HigherT","richness","value","Mean.value","value.st","unit.types","unit.types2","maxTscale","logMaxTime","logY","logS","TG1","Study","minval","maxval","logY.rs","logSc","logSmax","logSmaxc"
"1","100","40",786,"control","40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",4,0.0064,0.00655,0.977099236641221,"mass","biomass",3.8621,1.35121107699062,-5.05145728861651,1.38629436111989,"2","23",0.0064,0.0067,1.85629799036563,-0.693147180559945,1.38629436111989,-0.405465108108164
"2","100","40",786,"control","40","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",1,0.0067,0.00655,1.02290076335878,"mass","biomass",3.8621,1.35121107699062,-5.00564775258522,0,"2","23",0.0064,0.0067,1.90210752639692,-2.07944154167984,1.38629436111989,-0.405465108108164
"3","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",1,788.5657,1092.93593333333,0.721511367637957,"mass","biomass",0.9529,-0.0482453126279945,6.67021572569669,0,"1","150",788.5657,1251.931,6.67021572569669,-2.07944154167984,2.19722457733622,0.405465108108165
"4","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",3,1238.3111,1092.93593333333,1.13301343860412,"mass","biomass",0.9529,-0.0482453126279945,7.121503714083,1.09861228866811,"1","150",788.5657,1251.931,7.121503714083,-0.980829253011726,2.19722457733622,0.405465108108165
"5","1000","402",1188,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"485","892",0.5437,"-0.6093","Y","N","N",9,1251.931,1092.93593333333,1.14547519375793,"mass","biomass",0.9529,-0.0482453126279945,7.13244243832025,2.19722457733622,"1","150",788.5657,1251.931,7.13244243832025,0.117783035656384,2.19722457733622,0.405465108108165
"6","1001","402",1189,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",1,978.3333,1352.43826666667,0.723384811057796,"mass","biomass",0.9529,-0.0482453126279945,6.88585040952254,0,"1","150",978.3333,1771.0185,6.88585040952254,-2.07944154167984,2.19722457733622,0.405465108108165
"7","1001","402",1189,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",3,1307.963,1352.43826666667,0.967114752840968,"mass","biomass",0.9529,-0.0482453126279945,7.17622624415527,1.09861228866811,"1","150",978.3333,1771.0185,7.17622624415527,-0.980829253011726,2.19722457733622,0.405465108108165
"8","1001","402",1189,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"730","892",0.8184,"-0.2004","Y","N","N",9,1771.0185,1352.43826666667,1.30950043610124,"mass","biomass",0.9529,-0.0482453126279945,7.47931008380394,2.19722457733622,"1","150",978.3333,1771.0185,7.47931008380394,0.117783035656384,2.19722457733622,0.405465108108165
"9","1002","402",1190,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",1,1030.9722,1448.85286666667,0.711578258717138,"mass","biomass",0.9529,-0.0482453126279945,6.93825751954091,0,"1","150",1030.9722,1766.0185,6.93825751954091,-2.07944154167984,2.19722457733622,0.405465108108165
"10","1002","402",1190,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",3,1549.5679,1448.85286666667,1.06951363775471,"mass","biomass",0.9529,-0.0482453126279945,7.34573139685499,1.09861228866811,"1","150",1030.9722,1766.0185,7.34573139685499,-0.980829253011726,2.19722457733622,0.405465108108165
"11","1002","402",1190,"control","402","De Boeck et al, Biogeo 2008","TD",1,"SST","g m-2","T",1,3,9,"850","892",0.9529,"-0.0482","Y","Y","N",9,1766.0185,1448.85286666667,1.21890810352816,"mass","biomass",0.9529,-0.0482453126279945,7.47648285676023,2.19722457733622,"1","150",1030.9722,1766.0185,7.47648285676023,0.117783035656384,2.19722457733622,0.405465108108165
"12","1025","404",1191,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"120","365",0.3288,"-1.1124","Y","N","Y",1,102.7264,98.3329,1.04467985791124,"cover","perc.cover",3.2877,1.19018823215532,4.63206914329671,0,"1","152",93.9394,102.7264,4.63206914329671,-2.07944154167984,1.38629436111989,-0.405465108108164
"13","1025","404",1191,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"120","365",0.3288,"-1.1124","Y","N","Y",4,93.9394,98.3329,0.955320142088762,"cover","perc.cover",3.2877,1.19018823215532,4.54264989352288,1.38629436111989,"1","152",93.9394,102.7264,4.54264989352288,-0.693147180559945,1.38629436111989,-0.405465108108164
"14","1026","404",1192,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"210","365",0.5753,"-0.5528","Y","N","Y",1,70.8594,73.57585,0.963079597449435,"cover","perc.cover",3.2877,1.19018823215532,4.26069763200097,0,"1","152",70.8594,76.2923,4.26069763200097,-2.07944154167984,1.38629436111989,-0.405465108108164
"15","1026","404",1192,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"210","365",0.5753,"-0.5528","Y","N","Y",4,76.2923,73.57585,1.03692040255057,"cover","perc.cover",3.2877,1.19018823215532,4.33457201576671,1.38629436111989,"1","152",70.8594,76.2923,4.33457201576671,-0.693147180559945,1.38629436111989,-0.405465108108164
"16","1027","404",1193,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"300","365",0.8219,"-0.1961","Y","N","Y",1,51.6688,57.5189,0.898292561227701,"cover","perc.cover",3.2877,1.19018823215532,3.9448541177213,0,"1","152",51.6688,63.369,3.9448541177213,-2.07944154167984,1.38629436111989,-0.405465108108164
"17","1027","404",1193,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"300","365",0.8219,"-0.1961","Y","N","Y",4,63.369,57.5189,1.1017074387723,"cover","perc.cover",3.2877,1.19018823215532,4.14897478287322,1.38629436111989,"1","152",51.6688,63.369,4.14897478287322,-0.693147180559945,1.38629436111989,-0.405465108108164
"18","1028","404",1194,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"390","365",1.0685,"0.0662","Y","N","Y",1,55.3609,69.1243,0.800889122927827,"cover","perc.cover",3.2877,1.19018823215532,4.0138735684027,0,"1","152",55.3609,82.8877,4.0138735684027,-2.07944154167984,1.38629436111989,-0.405465108108164
"19","1028","404",1194,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"390","365",1.0685,"0.0662","Y","N","Y",4,82.8877,69.1243,1.19911087707217,"cover","perc.cover",3.2877,1.19018823215532,4.41748667960114,1.38629436111989,"1","152",55.3609,82.8877,4.41748667960114,-0.693147180559945,1.38629436111989,-0.405465108108164
"20","1029","404",1195,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"480","365",1.3151,"0.2739","Y","N","Y",1,72.111,89.3086,0.80743623794349,"cover","perc.cover",3.2877,1.19018823215532,4.27820659853463,0,"1","152",72.111,106.5062,4.27820659853463,-2.07944154167984,1.38629436111989,-0.405465108108164
"21","1029","404",1195,"control","404","Stachowicz et al, Ecology 2008","TD",1,"SST","cover m-2","A",2,2,4,"480","365",1.3151,"0.2739","Y","N","Y",4,106.5062,89.3086,1.19256376205651,"cover","perc.cover",3.2877,1.19018823215532,4.66820319941744,1.38629436111989,"1","152",72.111,106.5062,4.66820319941744,-0.693147180559945,1.38629436111989,-0.405465108108164
"22","103","41",787,"control","41","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",1,0.0016,0.00275,0.581818181818182,"mass","biomass",3.8621,1.35121107699062,-6.4377516497364,0,"2","23",0.0016,0.0039,0.470003629245736,-2.07944154167984,1.38629436111989,-0.405465108108164
"23","103","41",787,"control","41","Duffy et al. 2005","TD",2,"SST","g m-2","A",3,2,4,"42","10.875",3.8621,"1.3512","N","Y","Y",4,0.0039,0.00275,1.41818181818182,"mass","biomass",3.8621,1.35121107699062,-5.54677872584654,1.38629436111989,"2","23",0.0016,0.0039,1.3609765531356,-0.693147180559945,1.38629436111989,-0.405465108108164
